gameweek,date,home_team,away_team
32,2026-04-11,West Ham United,Wolverhampton Wanderers
32,2026-04-11,Arsenal,Bournemouth
32,2026-04-11,Brentford,Everton
32,2026-04-11,Burnley,Brighton & Hove Albion
32,2026-04-12,Liverpool,Fulham
32,2026-04-12,Crystal Palace,Newcastle
32,2026-04-12,Nottingham Forest,Aston Villa
32,2026-04-12,Sunderland,Tottenham Hotspur
32,2026-04-12,Chelsea,Manchester City
32,2026-04-14,Manchester United,Leeds United
33,2026-04-18,Brentford,Fulham
33,2026-04-18,Leeds United,Wolverhampton Wanderers
33,2026-04-18,Newcastle,Bournemouth
33,2026-04-19,Tottenham Hotspur,Brighton & Hove Albion
33,2026-04-19,Chelsea,Manchester United
33,2026-04-19,Aston Villa,Sunderland
33,2026-04-19,Everton,Liverpool
33,2026-04-19,Nottingham Forest,Burnley
33,2026-04-21,Crystal Palace,West Ham United
34,2026-04-22,Brighton & Hove Albion,Chelsea
34,2026-04-23,Bournemouth,Leeds United
34,2026-04-23,Burnley,Manchester City
34,2026-04-25,Sunderland,Nottingham Forest
34,2026-04-25,Fulham,Aston Villa
34,2026-04-25,Liverpool,Crystal Palace
34,2026-04-25,West Ham United,Everton
34,2026-04-25,Wolverhampton Wanderers,Tottenham Hotspur
34,2026-04-26,Arsenal,Newcastle
34,2026-04-28,Manchester United,Brentford
35,2026-05-02,Leeds United,Burnley
35,2026-05-02,Aston Villa,Tottenham Hotspur
35,2026-05-02,Bournemouth,Crystal Palace
35,2026-05-02,Brentford,West Ham United
35,2026-05-02,Newcastle,Brighton & Hove Albion
35,2026-05-02,Wolverhampton Wanderers,Sunderland
35,2026-05-03,Arsenal,Fulham
35,2026-05-03,Manchester United,Liverpool
35,2026-05-04,Chelsea,Nottingham Forest
35,2026-05-05,Everton,Manchester City
36,2026-05-09,Liverpool,Chelsea
36,2026-05-09,Brighton & Hove Albion,Wolverhampton Wanderers
36,2026-05-09,Burnley,Aston Villa
36,2026-05-09,Crystal Palace,Everton
36,2026-05-09,Fulham,Bournemouth
36,2026-05-09,Sunderland,Manchester United
36,2026-05-10,Manchester City,Brentford
36,2026-05-10,Nottingham Forest,Newcastle
36,2026-05-10,West Ham United,Arsenal
36,2026-05-12,Tottenham Hotspur,Leeds United
37,2026-05-17,Bournemouth,Manchester City
37,2026-05-17,Arsenal,Burnley
37,2026-05-17,Aston Villa,Liverpool
37,2026-05-17,Brentford,Crystal Palace
37,2026-05-17,Chelsea,Tottenham Hotspur
37,2026-05-17,Everton,Sunderland
37,2026-05-17,Leeds United,Brighton & Hove Albion
37,2026-05-17,Manchester United,Nottingham Forest
37,2026-05-17,Newcastle,West Ham United
37,2026-05-17,Wolverhampton Wanderers,Fulham
38,2026-05-24,Brighton & Hove Albion,Manchester United
38,2026-05-24,Burnley,Wolverhampton Wanderers
38,2026-05-24,Crystal Palace,Arsenal
38,2026-05-24,Fulham,Newcastle
38,2026-05-24,Liverpool,Brentford
38,2026-05-24,Manchester City,Aston Villa
38,2026-05-24,Nottingham Forest,Bournemouth
38,2026-05-24,Sunderland,Chelsea
38,2026-05-24,Tottenham Hotspur,Everton
38,2026-05-24,West Ham United,Leeds United
